epi_week,adm2,lineage,count
42,GREATER_LONDON,B.1.1.7,1
42,KENT,B.1.1.7,5
43,ESSEX,B.1.1.7,1
43,GREATER_LONDON,B.1.1.7,2
43,HAMPSHIRE,B.1.1.7,2
43,KENT,B.1.1.7,33
43,NORTHAMPTONSHIRE,B.1.1.7,1
43,SURREY,B.1.1.7,3
44,DURHAM,B.1.1.7,1
44,ESSEX,B.1.1.7,2
44,GREATER_LONDON,B.1.1.7,9
44,KENT,B.1.1.7,17
44,STAFFORDSHIRE,B.1.1.7,1
44,SUFFOLK,B.1.1.7,1
44,SURREY,B.1.1.7,3
44,WEST_SUSSEX,B.1.1.7,1
45,BRIDGEND,B.1.1.7,1
45,BUCKINGHAMSHIRE,B.1.1.7,3
45,CAMBRIDGESHIRE,B.1.1.7,1
45,CUMBRIA,B.1.1.7,1
45,EAST_SUSSEX,B.1.1.7,6
45,ESSEX,B.1.1.7,9
45,GLASGOW,B.1.1.7,1
45,GREATER_LONDON,B.1.1.7,62
45,HAMPSHIRE,B.1.1.7,2
45,HEREFORDSHIRE,B.1.1.7,1
45,HERTFORDSHIRE,B.1.1.7,2
45,KENT,B.1.1.7,132
45,MEDWAY,B.1.1.7,1
45,NORFOLK,B.1.1.7,17
45,STAFFORDSHIRE,B.1.1.7,3
45,SUFFOLK,B.1.1.7,1
45,SURREY,B.1.1.7,2
45,WEST_SUSSEX,B.1.1.7,3
46,BEDFORDSHIRE,B.1.1.7,5
46,BRIDGEND,B.1.1.7,3
46,BRISTOL,B.1.1.7,2
46,BUCKINGHAMSHIRE,B.1.1.7,6
46,CAMBRIDGESHIRE,B.1.1.7,4
46,CUMBRIA,B.1.1.7,1
46,EAST_RIDING_OF_YORKSHIRE,B.1.1.7,1
46,EAST_SUSSEX,B.1.1.7,16
46,ESSEX,B.1.1.7,41
46,GLASGOW,B.1.1.7,2
46,GLOUCESTERSHIRE,B.1.1.7,1
46,GREATER_LONDON,B.1.1.7,212
46,HAMPSHIRE,B.1.1.7,4
46,HERTFORDSHIRE,B.1.1.7,8
46,KENT,B.1.1.7,237
46,LEEDS,B.1.1.7,1
46,LEICESTERSHIRE,B.1.1.7,4
46,MEDWAY,B.1.1.7,3
46,MILTON_KEYNES,B.1.1.7,1
46,NORFOLK,B.1.1.7,45
46,NORTHAMPTONSHIRE,B.1.1.7,2
46,NORTH_LANARKSHIRE,B.1.1.7,1
46,NOTTINGHAMSHIRE,B.1.1.7,1
46,OLDHAM,B.1.1.7,1
46,OXFORDSHIRE,B.1.1.7,1
46,PORTSMOUTH,B.1.1.7,2
46,SOLIHULL,B.1.1.7,1
46,SOMERSET,B.1.1.7,2
46,SOUTHEND-ON-SEA,B.1.1.7,1
46,STAFFORDSHIRE,B.1.1.7,1
46,SUFFOLK,B.1.1.7,6
46,SURREY,B.1.1.7,13
46,THURROCK,B.1.1.7,3
46,WEST_DUNBARTONSHIRE,B.1.1.7,1
46,WEST_SUSSEX,B.1.1.7,5
46,WORCESTERSHIRE,B.1.1.7,1
47,BEDFORDSHIRE,B.1.1.7,6
47,BRIGHTON_AND_HOVE,B.1.1.7,1
47,BUCKINGHAMSHIRE,B.1.1.7,12
47,CAMBRIDGESHIRE,B.1.1.7,7
47,CUMBRIA,B.1.1.7,1
47,DERBYSHIRE,B.1.1.7,3
47,DEVON,B.1.1.7,1
47,EAST_RENFREWSHIRE,B.1.1.7,1
47,EAST_SUSSEX,B.1.1.7,3
47,ESSEX,B.1.1.7,46
47,GLASGOW,B.1.1.7,3
47,GREATER_LONDON,B.1.1.7,168
47,HAMPSHIRE,B.1.1.7,5
47,HERTFORDSHIRE,B.1.1.7,10
47,KENT,B.1.1.7,168
47,LANCASHIRE,B.1.1.7,2
47,LEICESTERSHIRE,B.1.1.7,6
47,LINCOLNSHIRE,B.1.1.7,1
47,MILTON_KEYNES,B.1.1.7,2
47,NEWPORT,B.1.1.7,1
47,NORFOLK,B.1.1.7,24
47,NORTHAMPTONSHIRE,B.1.1.7,5
47,NORTHUMBERLAND,B.1.1.7,1
47,OTHER,B.1.1.7,1
47,OXFORDSHIRE,B.1.1.7,2
47,PEMBROKESHIRE,B.1.1.7,2
47,PETERBOROUGH,B.1.1.7,1
47,RENFREWSHIRE,B.1.1.7,1
47,SOUTHEND-ON-SEA,B.1.1.7,1
47,STAFFORDSHIRE,B.1.1.7,1
47,SUFFOLK,B.1.1.7,4
