epi_week,adm2,lineage,count
66,GREATER_LONDON,B.1.1.7,610
66,HERTFORDSHIRE,B.1.1.7,100
66,KENT,B.1.1.7,131
66,LEEDS,B.1.1.7,353
66,LEICESTERSHIRE,B.1.1.7,350
66,MEDWAY,B.1.1.7,3
66,MILTON_KEYNES,B.1.1.7,13
66,SEFTON,B.1.1.7,19
66,GREATER_LONDON,B.1.617.2,2
66,HERTFORDSHIRE,B.1.617.2,2
66,KENT,B.1.617.2,1
66,LEEDS,B.1.617.2,2
66,LEICESTERSHIRE,B.1.617.2,1
66,MEDWAY,B.1.617.2,1
66,MILTON_KEYNES,B.1.617.2,1
66,SEFTON,B.1.617.2,1
67,BOLTON,B.1.1.7,19
67,BRADFORD,B.1.1.7,183
67,BUCKINGHAMSHIRE,B.1.1.7,54
67,CAMBRIDGESHIRE,B.1.1.7,62
67,EAST_SUSSEX,B.1.1.7,15
67,EDINBURGH,B.1.1.7,66
67,GLASGOW,B.1.1.7,255
67,GREATER_LONDON,B.1.1.7,446
67,HAMPSHIRE,B.1.1.7,121
67,HERTFORDSHIRE,B.1.1.7,55
67,LANCASHIRE,B.1.1.7,183
67,LEICESTERSHIRE,B.1.1.7,228
67,MILTON_KEYNES,B.1.1.7,8
67,MONMOUTHSHIRE,B.1.1.7,0
67,NEWCASTLE_UPON_TYNE,B.1.1.7,45
67,NORTHAMPTONSHIRE,B.1.1.7,111
67,WAKEFIELD,B.1.1.7,78
67,WORCESTERSHIRE,B.1.1.7,25
67,BOLTON,B.1.617.2,2
67,BRADFORD,B.1.617.2,1
67,BUCKINGHAMSHIRE,B.1.617.2,2
67,CAMBRIDGESHIRE,B.1.617.2,1
67,EAST_SUSSEX,B.1.617.2,3
67,EDINBURGH,B.1.617.2,1
67,GLASGOW,B.1.617.2,3
67,GREATER_LONDON,B.1.617.2,18
67,HAMPSHIRE,B.1.617.2,1
67,HERTFORDSHIRE,B.1.617.2,2
67,LANCASHIRE,B.1.617.2,1
67,LEICESTERSHIRE,B.1.617.2,3
67,MILTON_KEYNES,B.1.617.2,1
67,MONMOUTHSHIRE,B.1.617.2,1
67,NEWCASTLE_UPON_TYNE,B.1.617.2,1
67,NORTHAMPTONSHIRE,B.1.617.2,1
67,WAKEFIELD,B.1.617.2,1
67,WORCESTERSHIRE,B.1.617.2,1
68,BEDFORDSHIRE,B.1.1.7,35
68,BELFAST,B.1.1.7,8
68,BIRMINGHAM,B.1.1.7,54
68,BOLTON,B.1.1.7,18
68,BRISTOL,B.1.1.7,11
68,BUCKINGHAMSHIRE,B.1.1.7,53
68,CAMBRIDGESHIRE,B.1.1.7,62
68,CARDIFF,B.1.1.7,46
68,DORSET,B.1.1.7,13
68,EDINBURGH,B.1.1.7,71
68,ESSEX,B.1.1.7,44
68,GLASGOW,B.1.1.7,272
68,GLOUCESTERSHIRE,B.1.1.7,6
68,GREATER_LONDON,B.1.1.7,482
68,HAMPSHIRE,B.1.1.7,77
68,HERTFORDSHIRE,B.1.1.7,81
68,KENT,B.1.1.7,58
68,LANCASHIRE,B.1.1.7,113
68,LEICESTERSHIRE,B.1.1.7,181
68,MANCHESTER,B.1.1.7,52
68,MILTON_KEYNES,B.1.1.7,5
68,NORTHAMPTONSHIRE,B.1.1.7,126
68,OXFORDSHIRE,B.1.1.7,44
68,RENFREWSHIRE,B.1.1.7,48
68,SALFORD,B.1.1.7,14
68,SOLIHULL,B.1.1.7,5
68,SOUTH_TYNESIDE,B.1.1.7,12
68,STAFFORDSHIRE,B.1.1.7,120
68,STOCKPORT,B.1.1.7,14
68,SURREY,B.1.1.7,38
68,SWINDON,B.1.1.7,1
68,TELFORD_AND_WREKIN,B.1.1.7,7
68,WARWICKSHIRE,B.1.1.7,64
68,WEST_MIDLANDS,B.1.1.7,16
68,WIRRAL,B.1.1.7,4
68,BEDFORDSHIRE,B.1.617.2,1
68,BELFAST,B.1.617.2,1
68,BIRMINGHAM,B.1.617.2,1
68,BOLTON,B.1.617.2,3
68,BRISTOL,B.1.617.2,3
68,BUCKINGHAMSHIRE,B.1.617.2,2
68,CAMBRIDGESHIRE,B.1.617.2,4
68,CARDIFF,B.1.617.2,1
68,DORSET,B.1.617.2,1
68,EDINBURGH,B.1.617.2,1
68,ESSEX,B.1.617.2,3
68,GLASGOW,B.1.617.2,5
68,GLOUCESTERSHIRE,B.1.617.2,3
68,GREATER_LONDON,B.1.617.2,49
68,HAMPSHIRE,B.1.617.2,5
68,HERTFORDSHIRE,B.1.617.2,5
68,KENT,B.1.617.2,2
68,LANCASHIRE,B.1.617.2,4
68,LEICESTERSHIRE,B.1.617.2,11
68,MANCHESTER,B.1.617.2,1
68,MILTON_KEYNES,B.1.617.2,1
68,NORTHAMPTONSHIRE,B.1.617.2,1
68,OXFORDSHIRE,B.1.617.2,1
68,RENFREWSHIRE,B.1.617.2,2
68,SALFORD,B.1.617.2,1
68,SOLIHULL,B.1.617.2,2
68,SOUTH_TYNESIDE,B.1.617.2,1
68,STAFFORDSHIRE,B.1.617.2,1
68,STOCKPORT,B.1.617.2,1
68,SURREY,B.1.617.2,1
68,SWINDON,B.1.617.2,1
68,TELFORD_AND_WREKIN,B.1.617.2,1
68,WARWICKSHIRE,B.1.617.2,1
68,WEST_MIDLANDS,B.1.617.2,1
68,WIRRAL,B.1.617.2,2
69,ABERDEENSHIRE,B.1.1.7,17
69,ARMAGH_BANBRIDGE_AND_CRAIGAVON,B.1.1.7,7
69,BEDFORDSHIRE,B.1.1.7,35
69,BELFAST,B.1.1.7,6
69,BIRMINGHAM,B.1.1.7,65
