time,date,datetime,EGC_mean,EGC_median,EGC_upper,EGC_lower,LGC_mean,LGC_median,LGC_upper,LGC_lower,3EC_mean,3EC_median,3EC_upper,3EC_lower,date2,datetime2,SG_mean,SG_median,SG_upper,SG_lower
2021,2020-12-31,2020-12-31T00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020-12-04,2020-12-04T01:42:18,18.47498827,15.71679619,141.4418643,3.353076234
2020.997487,2020-12-29,2020-12-29T01:59:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020-11-29,2020-11-29T06:30:18,9.994824202,9.171247392,36.70582458,2.876224318
2020.994975,2020-12-28,2020-12-28T03:58:47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020-11-24,2020-11-24T11:18:18,11.0867648,10.39416335,32.30849852,4.416907748
2020.992462,2020-12-27,2020-12-27T05:58:11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020-11-19,2020-11-19T16:06:18,13.59844894,12.36352753,43.22858205,5.45283877
2020.98995,2020-12-26,2020-12-26T07:57:35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020-11-14,2020-11-14T20:54:18,8.119346795,7.65886303,20.70456251,3.747126646
2020.987437,2020-12-25,2020-12-25T09:56:59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020-11-10,2020-11-10T01:42:18,12.22585161,11.29674385,33.39979701,4.978886692
2020.984925,2020-12-24,2020-12-24T11:56:23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020-11-05,2020-11-05T06:30:18,9.684991948,9.092710133,31.00729156,3.508003748
2020.982412,2020-12-23,2020-12-23T13:55:46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020-10-31,2020-10-31T11:18:18,15.56587752,13.70194926,72.10320592,4.373820391
2020.979899,2020-12-22,2020-12-22T15:55:10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020-10-26,2020-10-26T16:06:18,5.044556629,4.591140191,21.09815818,1.2063862
2020.977387,2020-12-21,2020-12-21T17:54:34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020-10-21,2020-10-21T20:54:18,1.581757267,1.537875561,4.713149678,0.534138333
