time,date,datetime,mean_B117,median_B117,upper_B117,lower_B117,mean_B1177,median_B1177,upper_B1177,lower_B1177,mean_other,median_other,upper_other,lower_other
2021.008219,2021-01-02,2021-01-02T23:59:55,617.4390402,494.2701275,29772.93754,22.38404535,31.69173778,30.36808254,281.9383918,4.227199604,60.17227839,60.79908168,294.149202,10.48089472
2020.999799,2020-12-29,2020-12-29T22:14:33,651.2567792,501.6607636,17317.34572,45.28741525,32.8420013,30.97690651,175.3237664,5.34365775,59.51879427,58.21706139,237.9549658,15.59214863
2020.99138,2020-12-26,2020-12-26T20:29:12,652.1006904,509.3483465,13764.93715,69.55028575,36.5755918,34.44307684,141.1269387,9.769261989,65.34216249,63.29854626,167.4117663,18.77024382
2020.98296,2020-12-23,2020-12-23T18:43:50,587.8986107,465.5909176,8108.467883,73.25603436,38.91743297,37.10100545,132.680272,12.92680679,73.79675061,69.90262628,203.2374426,32.63545903
2020.97454,2020-12-20,2020-12-20T16:58:28,435.4550366,363.4518108,4087.333946,58.05627184,40.12971192,38.26614733,124.0950634,13.48859392,75.89294982,73.04922796,165.7595979,30.84149189
2020.966121,2020-12-17,2020-12-17T15:13:07,300.7750613,255.9212043,2361.998855,54.84943491,44.61435348,43.33790074,130.39356,16.80725686,77.02029542,72.76363342,174.6699011,36.73030653
2020.957701,2020-12-14,2020-12-14T13:27:45,217.9284454,191.5062733,1128.640836,53.20462273,48.09525257,46.49849662,134.7201961,19.74079049,72.84272249,70.8988338,151.1231793,35.57105302
2020.949282,2020-12-11,2020-12-11T11:42:24,135.4125672,123.0364783,615.166834,42.24521514,47.41451749,45.60841762,120.0458848,19.44217685,64.56397764,65.13592083,125.7517208,30.61508023
2020.940862,2020-12-08,2020-12-08T09:57:02,66.54938632,64.81261309,222.793806,18.43419023,46.90919153,45.6751773,124.9295919,19.46542049,65.53779721,66.36226074,133.1943709,33.9074855
2020.932442,2020-12-05,2020-12-05T08:11:41,58.60388916,56.29336627,203.701303,16.92225783,52.35479984,50.76009584,137.4450519,21.1585251,80.12318428,79.13012938,151.3836756,42.42377638
2020.924023,2020-12-02,2020-12-02T06:26:19,48.32434329,44.03929538,178.6885832,13.73862402,54.80951331,52.27503528,150.6259111,23.32856462,94.20605395,90.64165681,191.0913831,43.63102425
2020.915603,2020-11-29,2020-11-29T04:40:57,27.03928284,25.25868645,97.62704317,8.808116207,52.44119787,50.46236704,143.2506847,19.59300998,102.3460396,97.81919053,272.7142594,52.87269706
2020.907183,2020-11-26,2020-11-26T02:55:36,20.31206092,19.39804233,58.69778392,6.65560811,46.64812196,45.44453621,125.1875221,16.70494853,107.3019095,101.7607943,263.6733499,49.09186968
2020.898764,2020-11-23,2020-11-23T01:10:14,16.4156436,15.88528853,54.79167159,5.094800333,45.8531339,45.04440955,128.0444535,16.28485197,111.0322152,107.2686896,242.8936072,50.88570301
2020.890344,2020-11-19,2020-11-19T23:24:53,21.08645122,19.97691255,68.21518746,7.487239969,50.38316993,48.96030219,144.610286,18.55829444,117.3751999,111.6239478,279.9435498,55.16164837
2020.881924,2020-11-16,2020-11-16T21:39:31,18.33567616,17.15717971,57.43922687,6.245751692,61.97964713,58.95970654,170.5338988,22.21469717,118.5928349,109.6467906,307.7015166,55.94778212
2020.873505,2020-11-13,2020-11-13T19:54:09,12.38784553,11.73906578,42.14342468,4.429182632,66.91896553,63.5599639,213.7145744,23.2787365,112.1247349,107.0458085,265.3676199,55.23542803
2020.865085,2020-11-10,2020-11-10T18:08:48,9.089088522,8.250400525,31.69269932,3.36513467,66.10932798,62.12573761,207.9491794,22.25057662,97.00268106,94.59596502,206.5064091,45.34326773
2020.856666,2020-11-07,2020-11-07T16:23:26,9.868288385,9.138373971,36.68517279,2.558694245,59.44683686,56.37596498,189.6401253,20.99618444,83.55146808,83.14070878,166.0408597,33.57629312
2020.848246,2020-11-04,2020-11-04T14:38:05,7.130480389,6.372028196,34.46570665,1.977653112,51.45841724,49.08609848,152.4971701,18.75566815,76.82675285,76.35355999,193.1161364,33.06557832
